mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
129,1.285,4.195295341167748e-05,9.531282771510851e-06,4.467115251981744e-08,9.618291828929104e-09,4.401606207411608,2644.276658435648,0.0840611875,0.0941719375
130,1.295,4.0074910400252265e-05,9.121460735882332e-06,4.234080610603043e-08,9.077191627768403e-09,4.393475076048306,2639.3918596014296,0.09455706250000001,0.09455706250000001
131,1.305,3.828898671838321e-05,8.730669541755656e-06,4.103562728962414e-08,8.841865038722198e-09,4.385572782850244,2634.6445359047834,0.0941719375,0.0941719375
132,1.315,3.657592856347211e-05,8.354976578268991e-06,4.28898384483386e-08,9.308830537926168e-09,4.377741603561744,2629.93993407881,0.0829545625,0.0941719375
133,1.325,3.4956452264786875e-05,7.99967557954451e-06,4.296164496552279e-08,9.404961287693389e-09,4.369733736974524,2625.129186887297,0.0829545625,0.0829545625
134,1.335,3.341156321839671e-05,7.660251542140683e-06,4.060332535103127e-08,8.916887037350816e-09,4.3616796438853935,2620.290669001577,0.0829545625,0.0829545625
135,1.345,3.192705155958903e-05,7.333297709436407e-06,3.86729265523119e-08,8.518382971936742e-09,4.353709998505264,2615.502883302074,0.0829545625,0.09769168750000001
136,1.355,3.051090800185354e-05,7.020327155385849e-06,3.842012385461577e-08,8.514707157942945e-09,4.346080649310796,2610.919531442925,0.0829545625,0.09769168750000001
137,1.365,2.9163532527463256e-05,6.722408748669018e-06,3.808069301233345e-08,8.480674546749236e-09,4.338256362830867,2606.219070490068,0.0840611875,0.0957709375
138,1.375,2.787437188878741e-05,6.436571123760279e-06,3.714408341371563e-08,8.328199717599268e-09,4.33062438879772,2601.6341417520866,0.0840611875,0.0957709375
